Store,Item Category,Item Name,Serving Size,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carb (g),Dietary Fiber (g),Total Sugars (g),Added Sugars (g),Protein (g),Vitamin D (mcg),Potassium (mg),Calcium (mg),Iron (mg),Beverage_prep, Total Fat (g),Trans Fat (g) , Sodium (mg), Total Carbohydrates (g) , Dietary Fibre (g), Sugars (g), Protein (g) ,Vitamin A (% DV) ,Vitamin C (% DV), Calcium (% DV) ,Iron (% DV) ,Caffeine (mg)
Dunkin,Cold Brew Coffee,The Charli Cold Foam - Large,Large,340,4,2.5,0,15,115,70,0,68,61,4,0,613,159,0,,,,,,,,,,,,,
Dunkin,Cold Brew Coffee,The Charli Cold Foam - Medium,Medium,250,3,1.5,0,10,85,52,0,50,45,3,0,455,116,0,,,,,,,,,,,,,
Dunkin,Cold Brew Coffee,The Charli Cold Foam - Small,Small,190,2.5,1.5,0,10,65,39,0,37,34,2,0,317,87,0,,,,,,,,,,,,,
Dunkin,Cold Brew Coffee,Toasted White Chocolate Coconut Cold Brew - Large,Large,340,12,6,0,40,130,51,0,49,42,5,1,519,199,0,,,,,,,,,,,,,
Dunkin,Cold Brew Coffee,Toasted White Chocolate Coconut Cold Brew - Medium,Medium,260,9,4.5,0,30,95,38,0,37,32,4,0,389,149,0,,,,,,,,,,,,,
Dunkin,Cold Brew Coffee,Toasted White Chocolate Coconut Cold Brew - Small,Small,170,6,3,0,20,65,26,0,25,21,2,0,259,100,0,,,,,,,,,,,,,
Dunkin,Cold Brew Coffee,Caramel Cold Brew with Sweet Cold Foam - Large,Large,340,4,2.5,0,15,115,70,0,67,61,4,0,613,158,0,,,,,,,,,,,,,
Dunkin,Cold Brew Coffee,Caramel Cold Brew with Sweet Cold Foam - Medium,Medium,240,3,1.5,0,10,85,51,0,49,45,3,0,455,115,0,,,,,,,,,,,,,
Dunkin,Cold Brew Coffee,Caramel Cold Brew with Sweet Cold Foam - Small,Small,190,2.5,1.5,0,10,65,38,0,37,33,2,0,317,86,0,,,,,,,,,,,,,
Dunkin,Cold Brew Coffee,Cold Brew Coffee - Large,Large,5,0,0,0,0,20,0,0,0,0,1,0,275,21,0,,,,,,,,,,,,,
Dunkin,Cold Brew Coffee,Cold Brew Coffee - Medium,Medium,5,0,0,0,0,15,0,0,0,0,0,0,206,15,0,,,,,,,,,,,,,
Dunkin,Cold Brew Coffee,Cold Brew Coffee - Small,Small,5,0,0,0,0,10,0,0,0,0,0,0,137,11,0,,,,,,,,,,,,,
Dunkin,Cold Brew Coffee,Cold Brew Coffee with Cream - Large,Large,120,12,6,0,35,65,2,0,2,0,2,1,330,75,0,,,,,,,,,,,,,
Dunkin,Cold Brew Coffee,Cold Brew Coffee with Cream - Medium,Medium,90,9,4.5,0,25,45,1,0,1,0,2,0,247,55,0,,,,,,,,,,,,,
Dunkin,Cold Brew Coffee,Cold Brew Coffee with Cream - Small,Small,60,6,3,0,20,30,1,0,1,0,1,0,165,37,0,,,,,,,,,,,,,
Dunkin,Cold Brew Coffee,Cold Brew Coffee with Cream and Sugar - Large,Large,260,12,6,0,35,65,37,0,36,35,2,1,330,75,0,,,,,,,,,,,,,
Dunkin,Cold Brew Coffee,Cold Brew Coffee with Cream and Sugar - Medium,Medium,190,9,4.5,0,25,45,27,0,27,26,2,0,247,55,0,,,,,,,,,,,,,
Dunkin,Cold Brew Coffee,Cold Brew Coffee with Cream and Sugar - Small,Small,130,6,3,0,20,30,18,0,18,17,1,0,165,38,0,,,,,,,,,,,,,
Dunkin,Cold Brew Coffee,Cold Brew Coffee with Oatmilk - Large,Large,50,1.5,0,0,0,65,8,1,2,1,1,2,397,145,0,,,,,,,,,,,,,
Dunkin,Cold Brew Coffee,Cold Brew Coffee with Oatmilk - Medium,Medium,30,1,0,0,0,45,5,1,1,1,1,1,289,98,0,,,,,,,,,,,,,
Dunkin,Cold Brew Coffee,Cold Brew Coffee with Oatmilk - Small,Small,15,0,0,0,0,25,3,0,1,0,1,1,181,52,0,,,,,,,,,,,,,
Dunkin,Cold Brew Coffee,Cold Brew with Sweet Cold Foam and Cream - Large,Large,230,16,9,0.5,50,95,20,0,18,15,3,1,346,110,0,,,,,,,,,,,,,
Dunkin,Cold Brew Coffee,Cold Brew with Sweet Cold Foam and Cream - Medium,Medium,170,11,6,0,35,65,14,0,12,10,2,0,255,79,0,,,,,,,,,,,,,
Dunkin,Cold Brew Coffee,Cold Brew with Sweet Cold Foam and Cream - Small,Small,140,8,4.5,0,25,50,13,0,12,10,2,0,183,62,0,,,,,,,,,,,,,
Dunkin,Cold Brew Coffee,"Cold Brew with Sweet Cold Foam, Black - Large",Large,120,4,2.5,0,10,50,18,0,16,15,2,0,293,56,0,,,,,,,,,,,,,
Dunkin,Cold Brew Coffee,"Cold Brew with Sweet Cold Foam, Black - Medium",Medium,80,3,1.5,0,10,35,12,0,11,10,1,0,215,39,0,,,,,,,,,,,,,
Dunkin,Cold Brew Coffee,"Cold Brew with Sweet Cold Foam, Black - Small",Small,80,2.5,1.5,0,10,30,12,0,11,10,1,0,157,35,0,,,,,,,,,,,,,
Dunkin,Cold Brew Coffee,Nitro Cold Brew Coffee - Small,Small,5,0,0,0,0,5,0,0,0,0,0,0,148,6,0,,,,,,,,,,,,,
Dunkin,Cold Brew Coffee,Nitro Cold Brew with Sweet Cold Foam - Small,Small,80,3,1.5,0,10,30,12,0,11,10,1,0,222,33,0,,,,,,,,,,,,,
Dunkin,Cold Brew Coffee,Vanilla Cream Cold Brew - Large,Large,130,12,6,0,35,65,2,0,2,0,2,1,348,75,0,,,,,,,,,,,,,
Dunkin,Cold Brew Coffee,Vanilla Cream Cold Brew - Medium,Medium,100,9,4.5,0,25,45,2,0,1,0,2,0,260,56,0,,,,,,,,,,,,,
Dunkin,Cold Brew Coffee,Vanilla Cream Cold Brew - Small,Small,60,6,3,0,20,30,1,0,1,0,1,0,174,38,0,,,,,,,,,,,,,
Dunkin,Croissant Stuffers,Ham & Cheese Croissant Stuffer,1 Croissant,330,17,10,0,60,580,30,2,6,4,14,1,176,209,2,,,,,,,,,,,,,
Dunkin,Donuts,Chocolate Frosted with Valentine's Sprinkles Donut,1 Donut,270,12,5,0,0,290,36,1,15,14,4,0,75,13,2,,,,,,,,,,,,,
Dunkin,Donuts,Cupid's Choice Donut,1 Donut,290,11,5,0,0,340,43,1,20,20,4,0,64,13,2,,,,,,,,,,,,,
Dunkin,Donuts,Frosty Red Velvet Donut,1 Donut,420,20,9,0,0,360,58,1,36,36,3,0,83,26,2,,,,,,,,,,,,,
Dunkin,Donuts,Heart Shaped Brownie Batter Donut,1 Donut,330,14,6,0,0,320,48,2,25,24,5,0,117,18,2,,,,,,,,,,,,,
Dunkin,Donuts,Strawberry Frosted with Valentine's Sprinkles Donut,1 Donut,270,12,5,0,0,280,37,1,15,15,4,0,59,12,2,,,,,,,,,,,,,
Dunkin,Donuts,Vanilla Frosted with Valentine's Sprinkles Donut,1 Donut,270,12,5,0,0,280,37,1,15,15,4,0,59,12,2,,,,,,,,,,,,,
Dunkin,Donuts,Apple 'n Spice Donut,1 Donut,230,10,4,0,0,300,31,1,10,10,4,1,67,14,2,,,,,,,,,,,,,
Dunkin,Donuts,Apple Crumb Donut,1 Donut,290,11,4.5,0,0,310,44,1,21,21,5,1,73,12,2,,,,,,,,,,,,,
Dunkin,Donuts,Apple Fritter,1 Fritter,470,28,12,0,0,410,47,2,17,15,6,0,96,25,1,,,,,,,,,,,,,
Dunkin,Donuts,Apple Stick,1 Stick,470,30,15,0,30,440,50,1,24,23,4,0,78,30,2,,,,,,,,,,,,,
Dunkin,Donuts,Bavarian Kreme Donut,1 Donut,240,11,4,0,0,310,31,1,11,11,4,1,59,12,2,,,,,,,,,,,,,
Dunkin,Donuts,Bismark,1 Bismark,480,22,9,0,0,470,63,1,34,34,6,2,87,19,3,,,,,,,,,,,,,
Dunkin,Donuts,Boston Kreme Donut,1 Donut,270,11,4.5,0,0,320,39,1,18,17,5,1,81,33,2,,,,,,,,,,,,,
Dunkin,Donuts,Butternut Donut,1 Donut,430,21,10,0,20,320,57,1,34,33,4,0,79,25,2,,,,,,,,,,,,,
Dunkin,Donuts,Chocolate Butternut Donut,1 Donut,450,24,11,0,0,420,57,1,35,34,4,0,70,26,1,,,,,,,,,,,,,
Dunkin,Donuts,Chocolate Crème Donut,1 Donut,290,14,6,0,0,300,36,1,14,14,5,1,101,14,2,,,,,,,,,,,,,
Dunkin,Donuts,Chocolate Dipped French Cruller,1 Donut,280,15,7,0,50,150,33,0,20,20,3,0,37,13,0,,,,,,,,,,,,,
Dunkin,Donuts,Chocolate Frosted Cake Donut,1 Donut,360,20,9,0,20,340,41,1,21,20,4,0,85,25,2,,,,,,,,,,,,,
Dunkin,Donuts,Chocolate Frosted Donut,1 Donut,260,11,4.5,0,0,290,34,1,13,13,4,0,75,13,2,,,,,,,,,,,,,
Dunkin,Donuts,Chocolate Frosted with Sprinkles Donut,1 Donut,270,12,5,0,0,290,36,1,15,14,4,0,75,13,2,,,,,,,,,,,,,
Dunkin,Donuts,Chocolate Headlight Donut,1 Donut,310,14,6,0,0,310,41,1,19,18,5,0,105,15,2,,,,,,,,,,,,,
Dunkin,Donuts,Chocolate Long John,1 Long John,320,15,6,0,0,400,41,1,16,16,6,2,101,17,3,,,,,,,,,,,,,
Dunkin,Donuts,Cinnamon Donut,1 Donut,330,20,9,0,20,320,34,1,13,13,4,0,66,27,2,,,,,,,,,,,,,
Dunkin,Donuts,Cinnamon Stick,1 Stick,430,30,15,0,30,380,39,1,16,15,4,0,63,29,2,,,,,,,,,,,,,
Dunkin,Donuts,Coconut Donut,1 Donut,410,21,11,0,20,320,50,1,28,27,4,0,89,25,2,,,,,,,,,,,,,
Dunkin,Donuts,Coffee Roll,1 Coffee Roll,390,19,8,0,0,440,48,2,17,16,7,0,92,27,3,,,,,,,,,,,,,
Dunkin,Donuts,Double Chocolate Donut,1 Donut,380,23,11,0,0,430,41,1,22,21,4,0,75,26,1,,,,,,,,,,,,,
Dunkin,Donuts,French Cruller,1 Donut,230,14,7,0,50,135,21,0,10,10,3,0,17,12,0,,,,,,,,,,,,,
Dunkin,Donuts,Frosted Vanilla Crème Donut,1 Donut,330,16,6,0,0,310,44,1,24,24,5,1,81,13,2,,,,,,,,,,,,,
