Donuts,Serving Size,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carb (g),Dietary Fiber (g),Total Sugars (g),Added Sugars (g),Protein (g),Vitamin D (mcg),Potassium (mg),Calcium (mg),Iron (mg)
Chocolate Frosted with Valentine's Sprinkles Donut,1 Donut,270,12,5,0,0,290,36,1,15,14,4,0,75,13,2
Cupid's Choice Donut,1 Donut,290,11,5,0,0,340,43,1,20,20,4,0,64,13,2
Frosty Red Velvet Donut,1 Donut,420,20,9,0,0,360,58,1,36,36,3,0,83,26,2
Heart Shaped Brownie Batter Donut,1 Donut,330,14,6,0,0,320,48,2,25,24,5,0,117,18,2
Strawberry Frosted with Valentine's Sprinkles Donut,1 Donut,270,12,5,0,0,280,37,1,15,15,4,0,59,12,2
Vanilla Frosted with Valentine's Sprinkles Donut,1 Donut,270,12,5,0,0,280,37,1,15,15,4,0,59,12,2
Apple 'n Spice Donut,1 Donut,230,10,4,0,0,300,31,1,10,10,4,1,67,14,2
Apple Crumb Donut,1 Donut,290,11,4.5,0,0,310,44,1,21,21,5,1,73,12,2
Apple Fritter,1 Fritter,470,28,12,0,0,410,47,2,17,15,6,0,96,25,1
Apple Stick,1 Stick,470,30,15,0,30,440,50,1,24,23,4,0,78,30,2
Bavarian Kreme Donut,1 Donut,240,11,4,0,0,310,31,1,11,11,4,1,59,12,2
Bismark,1 Bismark,480,22,9,0,0,470,63,1,34,34,6,2,87,19,3
Boston Kreme Donut,1 Donut,270,11,4.5,0,0,320,39,1,18,17,5,1,81,33,2
Butternut Donut,1 Donut,430,21,10,0,20,320,57,1,34,33,4,0,79,25,2
Chocolate Butternut Donut,1 Donut,450,24,11,0,0,420,57,1,35,34,4,0,70,26,1
Chocolate Crème Donut,1 Donut,290,14,6,0,0,300,36,1,14,14,5,1,101,14,2
Chocolate Dipped French Cruller,1 Donut,280,15,7,0,50,150,33,0,20,20,3,0,37,13,0
Chocolate Frosted Cake Donut,1 Donut,360,20,9,0,20,340,41,1,21,20,4,0,85,25,2
Chocolate Frosted Donut,1 Donut,260,11,4.5,0,0,290,34,1,13,13,4,0,75,13,2
Chocolate Frosted with Sprinkles Donut,1 Donut,270,12,5,0,0,290,36,1,15,14,4,0,75,13,2
Chocolate Headlight Donut,1 Donut,310,14,6,0,0,310,41,1,19,18,5,0,105,15,2
Chocolate Long John,1 Long John,320,15,6,0,0,400,41,1,16,16,6,2,101,17,3
Cinnamon Donut,1 Donut,330,20,9,0,20,320,34,1,13,13,4,0,66,27,2
Cinnamon Stick,1 Stick,430,30,15,0,30,380,39,1,16,15,4,0,63,29,2
Coconut Donut,1 Donut,410,21,11,0,20,320,50,1,28,27,4,0,89,25,2
Coffee Roll,1 Coffee Roll,390,19,8,0,0,440,48,2,17,16,7,0,92,27,3
Double Chocolate Donut,1 Donut,380,23,11,0,0,430,41,1,22,21,4,0,75,26,1
French Cruller,1 Donut,230,14,7,0,50,135,21,0,10,10,3,0,17,12,0
Frosted Vanilla Crème Donut,1 Donut,330,16,6,0,0,310,44,1,24,24,5,1,81,13,2
Glazed Blueberry Donut,1 Donut,350,18,7,0,30,380,44,1,21,21,4,0,68,20,1
Glazed Chocolate Donut,1 Donut,370,23,10,0,0,420,41,1,21,20,4,0,57,25,1
Glazed Chocolate Stick,1 Stick,410,25,10,0,0,480,42,2,20,19,4,0,126,31,2
Glazed Donut,1 Donut,240,11,4.5,0,0,270,33,1,13,12,4,0,56,12,2
Glazed Jelly Donut,1 Donut,280,10,4,0,0,290,44,1,21,20,4,1,60,12,2
Glazed Jelly Stick,1 Stick,540,30,15,0,30,430,66,1,37,36,4,0,67,29,2
Glazed Stick,1 Stick,470,30,15,0,30,380,48,1,24,23,4,0,64,27,2
Glazed Strawberry Donut,1 Donut,280,10,4,0,0,280,44,1,23,23,4,1,67,12,2
Jelly Donut,1 Donut,250,10,4,0,0,290,36,1,13,13,4,1,58,13,2
Jelly Stick,1 Stick,500,30,15,0,30,420,57,1,29,28,4,0,65,29,2
Lemon Donut,1 Donut,230,10,4,0,0,310,31,1,10,10,4,1,59,12,2
Lemon Stick,1 Stick,480,30,15,0,30,460,50,1,24,23,4,0,67,28,2
Maple Crème Donut,1 Donut,290,14,5,0,0,290,38,1,18,18,4,1,61,12,2
Maple Crème Stick,1 Stick,460,22,9,0,0,440,59,1,34,34,5,2,89,17,2
Maple Frosted Donut,1 Donut,260,11,4.5,0,0,280,35,1,14,14,4,0,59,12,2
Maple Vanilla Crème Donut,1 Donut,330,15,6,0,0,300,45,1,25,25,4,1,65,12,2
