Frozen Chocolate,Serving Size,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carb (g),Dietary Fiber (g),Total Sugars (g),Added Sugars (g),Protein (g),Vitamin D (mcg),Potassium (mg),Calcium (mg),Iron (mg)
Pink Velvet Swirl Frozen Chocolate - Large,Large,900,18,13,0,40,380,172,2,159,144,12,3,707,397,1
Pink Velvet Swirl Frozen Chocolate - Medium,Medium,690,14,10,0,30,290,132,2,122,110,9,2,551,301,1
Pink Velvet Swirl Frozen Chocolate - Small,Small,500,11,8,0,25,190,93,1,85,77,6,1,398,207,1
Toasted White Chocolate Swirl Frozen Chocolate - Large,Large,900,17,13,0,40,380,173,1,160,144,11,3,686,415,0
Toasted White Chocolate Swirl Frozen Chocolate - Medium,Medium,690,14,10,0,30,290,133,1,123,111,9,2,535,319,0
Toasted White Chocolate Swirl Frozen Chocolate - Small,Small,500,11,8,0,25,200,94,1,86,77,6,1,386,225,0
Butter Pecan Swirl Frozen Chocolate - Large,Large,900,17,13,0,40,570,175,1,162,144,12,3,657,419,0
Butter Pecan Swirl Frozen Chocolate - Medium,Medium,700,14,10,0,30,430,134,1,124,111,9,2,513,322,0
Butter Pecan Swirl Frozen Chocolate - Small,Small,500,11,8,0,25,290,95,1,87,77,6,1,372,227,0
Caramel Swirl Frozen Chocolate - Large,Large,900,17,12,0,40,380,176,1,165,148,11,3,825,392,0
Caramel Swirl Frozen Chocolate - Medium,Medium,700,14,10,0,35,290,135,1,126,114,9,2,639,302,0
Caramel Swirl Frozen Chocolate - Small,Small,500,11,8,0,30,200,95,1,88,80,6,1,456,213,0
French Vanilla Swirl Frozen Chocolate - Large,Large,900,17,12,0,40,370,175,1,162,144,11,3,788,372,0
French Vanilla Swirl Frozen Chocolate - Medium,Medium,700,14,10,0,35,280,135,1,124,111,9,2,612,287,0
French Vanilla Swirl Frozen Chocolate - Small,Small,500,11,8,0,30,190,95,1,87,77,6,1,438,204,0
Frozen Chocolate - Large,Large,890,18,13,0,35,330,175,4,158,148,10,3,829,281,2
Frozen Chocolate - Medium,Medium,690,15,10,0,30,250,134,3,121,113,7,2,643,214,2
Frozen Chocolate - Small,Small,490,11,8,0,25,170,94,2,84,79,5,1,458,149,1
