Frozen Coffee,Serving Size,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carb (g),Dietary Fiber (g),Total Sugars (g),Added Sugars (g),Protein (g),Vitamin D (mcg),Potassium (mg),Calcium (mg),Iron (mg)
Pink Velvet Swirl Frozen Coffee with Cream - Large,Large,1110,40,22,1.5,125,290,176,1,166,155,11,2,2162,352,3
Pink Velvet Swirl Frozen Coffee with Cream - Medium,Medium,850,31,17,1,95,220,135,1,127,119,8,2,1642,267,2
Pink Velvet Swirl Frozen Coffee with Cream - Small,Small,600,22,12,0.5,70,150,95,1,89,83,6,1,1125,184,1
Pink Velvet Swirl Frozen Coffee with Skim Milk - Large,Large,820,6,3.5,0,25,240,180,1,170,155,12,2,2202,411,3
Pink Velvet Swirl Frozen Coffee with Skim Milk - Medium,Medium,640,5,3,0,20,180,138,1,130,119,9,2,1673,311,2
Pink Velvet Swirl Frozen Coffee with Skim Milk - Small,Small,460,5,3,0,20,125,97,1,91,83,6,1,1145,214,1
Pink Velvet Swirl Frozen Coffee with Whole Milk - Large,Large,870,11,7,0,40,240,180,1,170,155,11,3,2158,394,3
Pink Velvet Swirl Frozen Coffee with Whole Milk - Medium,Medium,680,9,6,0,30,180,138,1,130,119,9,2,1639,299,2
Pink Velvet Swirl Frozen Coffee with Whole Milk - Small,Small,490,8,5,0,25,125,97,1,90,83,6,1,1123,205,1
Toasted White Chocolate Swirl Frozen Coffee with Cream - Large,Large,1110,40,22,1.5,125,290,177,0,167,156,10,2,2142,369,2
Toasted White Chocolate Swirl Frozen Coffee with Cream - Medium,Medium,850,31,17,1,100,220,136,0,128,119,8,2,1627,285,2
Toasted White Chocolate Swirl Frozen Coffee with Cream - Small,Small,600,22,12,0.5,70,160,96,0,90,83,6,1,1114,202,1
Toasted White Chocolate Swirl Frozen Coffee with Skim Milk - Large,Large,830,5,3.5,0,25,240,181,0,171,156,11,2,2182,429,2
Toasted White Chocolate Swirl Frozen Coffee with Skim Milk - Medium,Medium,640,5,3,0,20,180,139,0,131,119,9,2,1657,329,2
Toasted White Chocolate Swirl Frozen Coffee with Skim Milk - Small,Small,460,4.5,3,0,20,130,98,0,92,83,6,1,1135,232,1
Toasted White Chocolate Swirl Frozen Coffee with Whole Milk - Large,Large,870,11,7,0,40,240,181,0,171,156,11,3,2137,412,2
Toasted White Chocolate Swirl Frozen Coffee with Whole Milk - Medium,Medium,680,9,6,0,30,190,139,0,131,119,8,2,1624,316,2
Toasted White Chocolate Swirl Frozen Coffee with Whole Milk - Small,Small,490,8,4.5,0,25,130,98,0,92,83,6,1,1112,223,1
White Chocolate Hazelnut Frozen Coffee - Large,Large,1110,39,23,1.5,125,300,179,0,167,156,11,2,746,364,0
White Chocolate Hazelnut Frozen Coffee - Medium,Medium,860,30,18,1,95,230,137,0,129,119,8,2,581,281,0
White Chocolate Hazelnut Frozen Coffee - Small,Small,600,22,13,0.5,70,160,97,0,90,83,6,1,419,201,0
Butter Pecan Swirl Frozen Coffee with Cream - Large,Large,1160,40,22,1.5,125,480,191,0,181,168,11,2,2111,373,2
Butter Pecan Swirl Frozen Coffee with Cream - Medium,Medium,890,31,17,1,100,370,147,0,139,129,8,2,1604,288,2
Butter Pecan Swirl Frozen Coffee with Cream - Small,Small,630,22,12,0.5,70,250,103,0,97,89,6,1,1099,204,1
Butter Pecan Swirl Frozen Coffee with Skim Milk - Large,Large,880,5,3.5,0,25,430,195,0,185,168,12,2,2152,432,2
Butter Pecan Swirl Frozen Coffee with Skim Milk - Medium,Medium,680,5,3,0,20,330,150,0,142,129,9,2,1634,332,2
Butter Pecan Swirl Frozen Coffee with Skim Milk - Small,Small,490,4.5,3,0,20,220,105,0,99,89,6,1,1119,234,1
Butter Pecan Swirl Frozen Coffee with Whole Milk - Large,Large,930,11,7,0,40,430,195,0,185,168,11,3,2107,415,2
Butter Pecan Swirl Frozen Coffee with Whole Milk - Medium,Medium,720,9,6,0,30,330,150,0,142,129,9,2,1601,319,2
Butter Pecan Swirl Frozen Coffee with Whole Milk - Small,Small,510,8,4.5,0,25,220,105,0,98,89,6,1,1097,225,1
Caramel Swirl Frozen Coffee with Cream - Large,Large,1120,40,22,1.5,130,290,180,0,172,160,10,2,2279,346,2
Caramel Swirl Frozen Coffee with Cream - Medium,Medium,860,31,17,1,100,220,139,0,132,122,8,2,1730,267,2
Caramel Swirl Frozen Coffee with Cream - Small,Small,610,22,12,0.5,70,160,97,0,92,85,6,1,1183,190,1
Caramel Swirl Frozen Coffee with Skim Milk - Large,Large,830,5,3.5,0,25,240,184,0,176,160,11,2,2319,405,2
Caramel Swirl Frozen Coffee with Skim Milk - Medium,Medium,650,4.5,3,0,25,180,142,0,135,122,9,2,1760,312,2
Caramel Swirl Frozen Coffee with Skim Milk - Small,Small,470,4.5,3,0,20,130,99,0,94,85,6,1,1203,220,1
Caramel Swirl Frozen Coffee with Whole Milk - Large,Large,880,11,7,0,40,240,184,0,175,160,11,3,2275,388,2
Caramel Swirl Frozen Coffee with Whole Milk - Medium,Medium,680,9,6,0,35,180,141,0,134,122,8,2,1727,299,2
Caramel Swirl Frozen Coffee with Whole Milk - Small,Small,490,8,4.5,0,30,130,99,0,94,85,6,1,1181,211,1
French Vanilla Swirl Frozen Coffee with Cream - Large,Large,1110,40,22,1.5,130,280,180,0,169,155,10,2,2243,326,2
French Vanilla Swirl Frozen Coffee with Cream - Medium,Medium,860,31,17,1,100,220,138,0,130,119,8,2,1703,253,2
