Iced Latte,Serving Size,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carb (g),Dietary Fiber (g),Total Sugars (g),Added Sugars (g),Protein (g),Vitamin D (mcg),Potassium (mg),Calcium (mg),Iron (mg)
Iced Vanilla Chai Latte with Sweet Cold Foam - Large,Large,520,16,10,0.5,50,250,77,2,70,51,14,5,638,498,1
Iced Vanilla Chai Latte with Sweet Cold Foam - Medium,Medium,380,12,7,0,35,180,56,2,51,37,10,4,464,362,0
Iced Vanilla Chai Latte with Sweet Cold Foam - Small,Small,280,9,5,0,25,130,41,1,38,28,7,2,323,250,0
Pink Velvet Swirl Iced Latte with Skim Milk - Large,Large,350,0.5,0,0,10,250,67,0,65,42,16,4,899,593,0
Pink Velvet Swirl Iced Latte with Skim Milk - Medium,Medium,260,0,0,0,5,190,50,0,49,31,12,3,670,444,0
Pink Velvet Swirl Iced Latte with Skim Milk - Small,Small,170,0,0,0,5,125,33,0,33,21,8,2,450,296,0
Pink Velvet Swirl Iced Latte with Whole Milk - Large,Large,440,12,7,0,40,260,66,0,64,42,15,5,809,558,0
Pink Velvet Swirl Iced Latte with Whole Milk - Medium,Medium,330,9,5,0,30,190,50,0,48,31,11,4,602,418,0
Pink Velvet Swirl Iced Latte with Whole Milk - Small,Small,220,6,3.5,0,20,130,33,0,32,21,8,2,405,279,0
Toasted White Chocolate Signature Iced Latte with Skim Milk - Large,Large,430,6,3.5,0,25,260,77,0,71,47,16,5,908,613,0
Toasted White Chocolate Signature Iced Latte with Skim Milk - Medium,Medium,330,5,3,0,25,190,59,0,54,36,12,3,684,463,0
Toasted White Chocolate Signature Iced Latte with Skim Milk - Small,Small,250,5,3,0,20,135,42,0,38,26,8,2,471,317,0
Toasted White Chocolate Signature Iced Latte with Whole Milk - Large,Large,530,17,10,0.5,55,260,76,0,70,47,15,5,819,579,0
Toasted White Chocolate Signature Iced Latte with Whole Milk - Medium,Medium,410,14,8,0,45,200,59,0,54,36,11,4,616,437,0
Toasted White Chocolate Signature Iced Latte with Whole Milk - Small,Small,300,11,6,0,35,135,42,0,38,26,8,3,426,299,0
Toasted White Chocolate Swirl Iced Latte with Skim Milk - Large,Large,350,0.5,0,0,10,250,68,0,66,42,15,4,870,590,0
Toasted White Chocolate Swirl Iced Latte with Skim Milk - Medium,Medium,260,0,0,0,5,190,51,0,49,32,11,3,648,442,0
Toasted White Chocolate Swirl Iced Latte with Skim Milk - Small,Small,170,0,0,0,5,125,34,0,33,21,8,2,435,295,0
Toasted White Chocolate Swirl Iced Latte with Whole Milk - Large,Large,440,12,7,0,40,250,68,0,65,42,14,5,781,556,0
Toasted White Chocolate Swirl Iced Latte with Whole Milk - Medium,Medium,330,9,5,0,30,190,51,0,49,32,11,4,581,416,0
Toasted White Chocolate Swirl Iced Latte with Whole Milk - Small,Small,220,6,3.5,0,20,125,34,0,33,21,7,2,390,278,0
White Chocolate Iced Matcha Latte - Large,Large,550,12,7,0,40,240,93,2,90,67,16,9,689,554,0
White Chocolate Iced Matcha Latte - Medium,Medium,410,9,5,0,30,180,70,1,68,51,12,6,516,415,0
White Chocolate Iced Matcha Latte - Small,Small,280,6,3.5,0,20,120,47,1,45,34,8,4,344,277,0
Almondmilk Iced Matcha Latte - Large,Large,230,3.5,0,0,0,240,48,3,44,44,3,8,258,702,1
Almondmilk Iced Matcha Latte - Medium,Medium,180,2.5,0,0,0,180,36,2,33,33,3,6,193,526,1
Almondmilk Iced Matcha Latte - Small,Small,120,2,0,0,0,120,24,1,22,22,2,4,129,351,1
Butter Pecan Swirl Iced Latte with Skim Milk - Large,Large,350,0.5,0,0,10,440,70,0,66,42,16,4,849,596,0
Butter Pecan Swirl Iced Latte with Skim Milk - Medium,Medium,260,0,0,0,5,330,52,0,50,31,12,3,632,446,0
Butter Pecan Swirl Iced Latte with Skim Milk - Small,Small,170,0,0,0,5,220,35,0,33,21,8,2,425,298,0
Butter Pecan Swirl Iced Latte with Whole Milk - Large,Large,450,12,7,0,40,440,69,0,66,42,15,5,759,561,0
Butter Pecan Swirl Iced Latte with Whole Milk - Medium,Medium,330,9,5,0,30,330,52,0,49,31,11,4,565,420,0
Butter Pecan Swirl Iced Latte with Whole Milk - Small,Small,220,6,3.5,0,20,220,35,0,33,21,7,2,380,281,0
Caramel Craze Signature Iced Latte with Skim Milk - Large,Large,430,6,3.5,0,30,250,79,0,75,51,16,5,1053,586,0
Caramel Craze Signature Iced Latte with Skim Milk - Medium,Medium,340,5,3,0,25,190,61,0,57,39,12,3,792,442,0
Caramel Craze Signature Iced Latte with Skim Milk - Small,Small,250,5,3,0,20,130,43,0,40,27,8,2,543,303,0
Caramel Craze Signature Iced Latte with Whole Milk - Large,Large,530,17,10,0.5,60,250,79,0,74,51,15,5,963,551,0
Caramel Craze Signature Iced Latte with Whole Milk - Medium,Medium,410,14,8,0,45,190,61,0,57,39,11,4,725,416,0
Caramel Craze Signature Iced Latte with Whole Milk - Small,Small,300,11,6,0,35,130,43,0,39,27,8,3,499,285,0
Caramel Swirl Iced Latte with Skim Milk - Large,Large,350,0,0,0,10,250,71,0,69,46,15,4,"1,017",568,0
Caramel Swirl Iced Latte with Skim Milk - Medium,Medium,260,0,0,0,10,190,53,0,52,35,11,3,758,426,0
Caramel Swirl Iced Latte with Skim Milk - Small,Small,180,0,0,0,5,125,36,0,35,23,8,2,509,284,0
Caramel Swirl Iced Latte with Whole Milk - Large,Large,450,12,7,0,40,250,70,0,69,46,14,5,927,534,0
Caramel Swirl Iced Latte with Whole Milk - Medium,Medium,340,9,5,0,30,190,53,0,52,35,11,4,690,400,0
Caramel Swirl Iced Latte with Whole Milk - Small,Small,230,6,3.5,0,20,125,35,0,34,23,7,2,464,267,0
Chai Iced Latte with Skim Milk- Large,Large,290,0.5,0,0,5,210,58,2,54,36,13,4,656,466,1
Chai Iced Latte with Skim Milk- Medium,Medium,220,0,0,0,5,160,44,2,41,27,10,3,492,349,0
Chai Iced Latte with Skim Milk- Small,Small,150,0,0,0,5,105,29,1,27,18,7,2,328,233,0
Chai Iced Latte with Whole Milk- Large,Large,390,12,7,0,35,220,57,2,54,36,12,5,567,431,1
Chai Iced Latte with Whole Milk- Medium,Medium,290,9,5,0,25,160,43,2,40,27,9,4,425,323,0
Chai Iced Latte with Whole Milk- Small,Small,200,6,3.5,0,20,110,29,1,27,18,6,2,283,216,0
Cocoa Mocha Signature Iced Latte with Skim Milk - Large,Large,420,6,4,0,25,220,78,2,69,50,15,5,1061,495,2
Cocoa Mocha Signature Iced Latte with Skim Milk - Medium,Medium,330,6,3.5,0,20,160,60,2,52,38,11,3,798,373,2
Cocoa Mocha Signature Iced Latte with Skim Milk - Small,Small,250,5,3.5,0,20,115,43,1,36,27,8,2,548,255,1
Cocoa Mocha Signature Iced Latte with Whole Milk - Large,Large,520,18,11,0.5,55,220,77,2,68,50,14,5,971,460,2
Cocoa Mocha Signature Iced Latte with Whole Milk - Medium,Medium,400,14,9,0,45,170,60,2,52,38,10,4,731,347,2
Cocoa Mocha Signature Iced Latte with Whole Milk - Small,Small,300,11,7,0,35,115,42,1,36,27,7,3,503,238,1
French Vanilla Swirl Iced Latte with Skim Milk - Large,Large,350,0,0,0,10,240,71,0,67,42,15,4,980,549,0
French Vanilla Swirl Iced Latte with Skim Milk - Medium,Medium,260,0,0,0,10,180,53,0,50,31,11,3,730,411,0
French Vanilla Swirl Iced Latte with Skim Milk - Small,Small,170,0,0,0,5,120,35,0,33,21,7,2,490,275,0
French Vanilla Swirl Iced Latte with Whole Milk - Large,Large,450,12,7,0,40,240,70,0,66,42,14,5,891,515,0
French Vanilla Swirl Iced Latte with Whole Milk - Medium,Medium,330,9,5,0,30,180,52,0,50,31,11,4,663,385,0
French Vanilla Swirl Iced Latte with Whole Milk - Small,Small,220,6,3.5,0,20,120,35,0,33,21,7,2,445,258,0
Iced Latte with AlmondMilk - Large,Large,130,3.5,0,0,0,260,23,1,20,19,2,4,374,715,1
Iced Latte with AlmondMilk - Medium,Medium,100,3,0,0,0,190,17,1,15,15,1,3,276,536,1
Iced Latte with AlmondMilk - Small,Small,70,2,0,0,0,130,11,0,10,10,1,2,187,358,1
