Kosher Sandwiches and Wraps,Serving Size,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carb (g),Dietary Fiber (g),Total Sugars (g),Added Sugars (g),Protein (g),Vitamin D (mcg),Potassium (mg),Calcium (mg),Iron (mg)
Kosher Egg and Cheese Pancake Wake-Up Wrap® with Dipping Syrup,1 Wrap,290,13,4.5,0,105,630,37,1,20,19,8,1,113,114,1
Kosher Sweet Black Pepper Bacon Breakfast Sandwich,1 Sandwich,670,43,16,0,185,970,49,2,11,10,21,4,198,212,4
Kosher Sweet Black Pepper Bacon Wake-Up Wrap,1 Wrap,280,17,7,0,105,580,19,1,3,3,12,1,97,208,2
"Kosher Sweet Black Pepper Bacon, Egg, and Cheese Pancake Wake-Up Wrap® with Dipping Syrup",1 Wrap,370,18,7,0,110,690,41,1,23,22,12,1,117,199,1
"Kosher Veggie Bacon, Egg, and Cheese Pancake Wake-Up Wrap® with Dipping Syrup",1 Wrap,320,15,4.5,0,105,740,38,1,20,19,9,1,121,118,1
"Kosher Veggie Sausage, Egg, and Cheese Pancake Wake-Up Wrap® with Dipping Syrup",1 Wrap,330,14,4.5,0,105,760,39,1,20,19,13,1,164,124,2
Kosher Dunkin' Double Veggie Sausage Sandwich,1 Sandwich,600,18,6,0,180,1460,74,6,8,5,37,1,439,163,8
Kosher Egg and Cheese Wake Up Wrap,1 Wrap,170,10,4,0,95,410,14,0,1,0,7,1,86,120,1
Kosher Egg and Cheese on an English Muffin,1 Sandwich,340,14,5,0,180,600,38,1,3,3,14,2,164,112,3
Kosher Sourdough Breakfast Sandwich,1 Sandwich,660,34,10,0,345,1470,61,3,1,0,29,2,323,234,6
Kosher Tuna Melt on a Croissant,1 Sandwich,630,42,15,0,65,820,38,1,5,5,24,3,82,166,3
Kosher Tuna Salad on a Plain Bagel,1 Sandwich,510,17,3,0,45,1060,64,4,7,4,24,0,130,23,4
Kosher Veggie Bacon Egg and Cheese on a Plain Bagel,1 Sandwich,510,17,5,0,180,1170,68,4,7,4,21,1,251,130,5
Kosher Veggie Bacon Wake-Up Wrap,1 Wrap,200,12,4.5,0,95,520,15,0,1,0,8,1,94,124,1
Kosher Veggie Sausage Egg and Cheese on a Croissant,1 Sandwich,570,33,13,0,180,840,44,2,6,5,23,4,268,132,5
Kosher Veggie Sausage Wake-Up Wrap,1 Wrap,210,11,4,0,95,540,16,1,1,1,11,1,138,130,2
