Iced Tea,Serving Size,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carb (g),Dietary Fiber (g),Total Sugars (g),Added Sugars (g),Protein (g),Vitamin D (mcg),Potassium (mg),Calcium (mg),Iron (mg)
Iced Green Tea Sweetened - Large,Large,140,0,0,0,0,15,33,0,33,33,1,0,49,10,0
Iced Green Tea Sweetened - Medium,Medium,100,0,0,0,0,10,25,0,25,25,1,0,36,6,0
Iced Green Tea Sweetened - Small,Small,70,0,0,0,0,10,16,0,16,16,1,0,24,5,0
Iced Green Tea Unsweetened - Large,Large,5,0,0,0,0,15,0,0,0,0,1,0,49,10,0
Iced Green Tea Unsweetened - Medium,Medium,5,0,0,0,0,10,0,0,0,0,1,0,36,6,0
Iced Green Tea Unsweetened - Small,Small,5,0,0,0,0,10,0,0,0,0,1,0,24,5,0
Iced Tea Sweetened - Large,Large,140,0,0,0,0,25,35,0,33,33,0,0,213,10,0
Iced Tea Sweetened - Medium,Medium,100,0,0,0,0,20,26,0,25,25,0,0,159,6,0
Iced Tea Sweetened - Small,Small,70,0,0,0,0,15,17,0,16,16,0,0,107,5,0
Iced Tea Sweetened Blueberry Flavored - Medium,Medium,110,0,0,0,0,20,27,0,25,25,0,0,149,6,0
Iced Tea Sweetened Blueberry Flavored - Large,Large,150,0,0,0,0,25,35,0,33,33,0,0,199,10,0
Iced Tea Sweetened Blueberry Flavored - Small,Small,70,0,0,0,0,15,18,0,17,17,0,0,99,5,0
Iced Tea Sweetened Raspberry Flavored - Large,Large,150,0,0,0,0,25,38,0,33,33,0,0,199,10,0
Iced Tea Sweetened Raspberry Flavored - Medium,Medium,110,0,0,0,0,20,29,0,25,25,0,0,149,6,0
Iced Tea Sweetened Raspberry Flavored - Small,Small,80,0,0,0,0,15,19,0,17,17,0,0,99,5,0
Iced Tea Unsweetened - Large,Large,5,0,0,0,0,25,2,0,0,0,0,0,196,10,0
Iced Tea Unsweetened - Medium,Medium,5,0,0,0,0,20,1,0,0,0,0,0,148,6,0
Iced Tea Unsweetened - Small,Small,5,0,0,0,0,15,1,0,0,0,0,0,102,5,0
Iced Tea Unsweetened Blueberry Flavored - Large,Large,15,0,0,0,0,25,2,0,0,0,0,0,199,10,0
Iced Tea Unsweetened Blueberry Flavored - Medium,Medium,10,0,0,0,0,20,2,0,0,0,0,0,149,6,0
Iced Tea Unsweetened Blueberry Flavored - Small,Small,5,0,0,0,0,15,1,0,0,0,0,0,99,5,0
Iced Tea Unsweetened Raspberry Flavored - Large,Large,20,0,0,0,0,25,5,0,0,0,0,0,199,10,0
Iced Tea Unsweetened Raspberry Flavored - Medium,Medium,15,0,0,0,0,20,4,0,0,0,0,0,149,6,0
Iced Tea Unsweetened Raspberry Flavored - Small,Small,10,0,0,0,0,15,3,0,0,0,0,0,99,5,0
Sweet Tea - Large,Large,310,0,0,0,0,25,79,0,78,78,0,0,206,10,0
Sweet Tea - Medium,Medium,230,0,0,0,0,20,60,0,58,58,0,0,154,7,0
Sweet Tea - Small,Small,150,0,0,0,0,15,40,0,39,39,0,0,103,5,0
Sweet Tea Blueberry Flavored - Large,Large,330,0,0,0,0,30,86,0,81,81,0,0,224,10,0
Sweet Tea Blueberry Flavored - Medium,Medium,250,0,0,0,0,20,64,0,60,60,0,0,167,7,0
Sweet Tea Blueberry Flavored - Small,Small,170,0,0,0,0,15,43,0,40,40,0,0,112,5,0
Sweet Tea Raspberry Flavored - Large,Large,330,0,0,0,0,30,86,0,81,81,0,0,224,10,0
Sweet Tea Raspberry Flavored - Medium,Medium,250,0,0,0,0,20,65,0,60,60,0,0,167,7,0
Sweet Tea Raspberry Flavored - Small,Small,170,0,0,0,0,15,43,0,40,40,0,0,112,5,0
