Item Category,Item Name,Serving Size,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carb (g),Dietary Fiber (g),Total Sugars (g),Added Sugars (g),Protein (g),Vitamin D (mcg),Potassium (mg),Calcium (mg),Iron (mg)
Packaged Coffee,Dunkin' Decaf K-Cup® Pod,,,,,,,,,,,,,,,,
Packaged Coffee,Dunkin' Midnight K-Cup® Pod,,,,,,,,,,,,,,,,
Packaged Coffee,French Vanilla K-Cup® Pod,,,,,,,,,,,,,,,,
Packaged Coffee,Ground Dunkin Decaf Packaged Coffee,,,,,,,,,,,,,,,,
Packaged Coffee,Ground Dunkin' Midnight Packaged Coffee,,,,,,,,,,,,,,,,
Packaged Coffee,Ground French Vanilla Packaged Coffee,,,,,,,,,,,,,,,,
Packaged Coffee,Ground Hazelnut Packaged Coffee,,,,,,,,,,,,,,,,
Packaged Coffee,Ground Original Blend Packaged Coffee,,,,,,,,,,,,,,,,
Packaged Coffee,Original Blend K-Cup® Pod,,,,,,,,,,,,,,,,
Packaged Coffee,Whole Bean Original Blend Packaged Coffee,,,,,,,,,,,,,,,,
